House,1,2,3,4,5,6,7,8,9,10,11,12
Adams,7,14,19,19,30,20,19,19,24,7,12,13
Cabot,0,3,5,3,7,1,9,8,15,39,52,61
Dunster,11,22,45,29,16,25,17,14,10,4,7,3
Pforzheimer,3,6,7,6,9,11,8,17,26,61,35,14
Winthrop,27,91,23,19,12,7,4,8,3,3,1,5
Kirkland,5,5,11,23,20,30,25,28,20,9,12,15
Quincy,5,8,26,29,30,28,27,22,13,5,5,5
Lowell,118,28,19,12,6,10,4,2,3,1,0,0
Mather,9,6,5,16,19,8,19,24,45,21,8,23
Eliot,15,12,28,32,28,24,21,17,8,8,8,2
Leverett,3,5,12,13,21,30,44,35,15,7,10,8
Currier,0,3,3,2,5,9,6,9,21,38,53,54